FinalGrade,Name,Age,Gender,StudyHours,Attendance,HomeworkRate,Participation,FavoriteSubject
A B C D F,string,continuous,F M,continuous,continuous,continuous,High Low Medium,English Math Science
class,meta,Age,Gender,StudyHours,Attendance,HomeworkRate,Participation,FavoriteSubject
F,Student1,14,M,3,72,0.42,Low,Math
F,Student2,15,F,2,72,0.78,Low,Math
F,Student3,12,M,2,70,0.59,High,Science
B,Student4,14,F,4,96,0.71,Medium,Math
F,Student5,14,M,2,74,0.94,Medium,Science
D,Student6,15,F,2,79,0.55,Low,Math
D,Student7,12,F,2,76,0.65,Medium,Math
A,Student8,12,M,4,95,0.85,Medium,English
D,Student9,14,M,2,78,0.54,High,English
D,Student10,13,M,3,97,0.45,High,Math
D,Student11,14,M,4,76,0.57,High,Math
D,Student12,14,M,3,78,0.5,High,English
D,Student13,14,M,4,77,0.96,Low,English
C,Student14,14,M,2,81,0.88,High,English
F,Student15,15,M,3,71,0.78,Medium,Science
F,Student16,12,F,4,70,0.92,Low,Math
C,Student17,15,F,1,85,0.88,Medium,English
D,Student18,15,M,2,92,0.51,Medium,Math
A,Student19,15,F,4,92,0.94,Medium,Science
C,Student20,14,F,1,99,0.72,High,Science
A,Student21,13,F,4,93,0.88,High,English
F,Student22,12,F,1,74,0.94,Low,Science
F,Student23,13,M,2,72,0.59,Low,Math
D,Student24,15,F,3,81,0.47,High,English
D,Student25,15,M,1,77,0.54,Medium,Math
C,Student26,13,F,4,91,0.66,Low,Math
B,Student27,13,F,2,96,0.89,High,Science
F,Student28,13,F,1,72,0.92,High,Science
F,Student29,15,M,4,70,0.4,High,Science
F,Student30,15,F,4,72,0.71,Medium,Science
F,Student31,12,M,4,74,0.65,High,Science
D,Student32,12,F,1,84,0.53,High,English
D,Student33,15,M,1,83,0.47,High,Math
F,Student34,13,F,1,72,0.6,High,Math
F,Student35,13,M,3,70,0.97,Low,Math
F,Student36,12,M,1,74,0.59,Low,Math
C,Student37,15,F,1,95,0.71,High,Science
C,Student38,12,M,1,92,0.82,Medium,Math
C,Student39,12,F,3,100,0.62,Low,English
C,Student40,14,F,1,83,0.98,High,English
D,Student41,14,F,4,76,0.98,Low,Math
D,Student42,14,F,1,96,0.55,Low,Math
D,Student43,13,F,4,78,0.7,Medium,English
D,Student44,15,F,4,84,0.58,High,English
D,Student45,15,F,4,84,0.57,High,Science
D,Student46,15,F,3,95,0.42,Medium,English
D,Student47,15,F,3,79,0.77,Medium,Science
B,Student48,14,F,3,97,0.7,High,Science
D,Student49,13,F,1,82,0.43,High,Science
D,Student50,13,M,4,88,0.57,Medium,Science
